ob_end_time, id_type, id, ob_hour_count, version_num, met_domain_name, src_id, rec_st_ind, max_air_temp, min_air_temp, min_grss_temp, min_conc_temp, max_air_temp_q, min_air_temp_q, min_grss_temp_q, min_conc_temp_q, meto_stmp_time, midas_stmp_etime, max_air_temp_j, min_air_temp_j, min_grss_temp_j, min_conc_temp_j
1965-03-19 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 6.7, 3.9, 2.8, , 9, 9, 9, 0, , , , , ,
1965-03-20 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 5, -2.8, -6.7, , 9, 109, 109, 0, , , , , ,
1965-03-20 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 8.9, -.6, -1.1, , 9, 9, 9, 0, , , , , ,
1965-03-20 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 8.3, 4.4, 2.8, , 9, 9, 9, 0, , , , , ,
1965-03-21 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 5.6, -.6, -3.9, , 9, 9, 9, 0, , , , , ,
1965-03-21 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 8.9, -.1, -.1, , 9, 9, 9, 0, , , , , ,
1965-03-21 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, , , , , 0, 0, 0, 0, , , , , ,
1965-03-22 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 4.4, 0, -4.4, , 9, 109, 109, 0, , , , , ,
1965-03-22 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 5, -.6, -.1, , 9, 109, 109, 0, , , , , ,
1965-03-22 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 10.6, 4.4, 3.9, , 9, 9, 9, 0, , , , , ,
1965-03-23 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 6.1, 0, -2.8, , 9, 109, 109, 0, , , , , ,
1965-03-23 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 2.8, -.1, 0, , 9, 109, 109, 0, , , , , ,
1965-03-23 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 7.8, 5, 4.4, , 9, 9, 9, 0, , , , , ,
1965-03-24 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 2.8, -1.7, -6.7, , 9, 9, 9, 0, , , , , ,
1965-03-24 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 4.4, .6, 0, , 9, 9, 9, 0, , , , , ,
1965-03-24 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 10, 5, 4.4, , 9, 9, 9, 0, , , , , ,
